,State,Key Statutes / Codes,Local Authority,Notable Provisions,Vulnerable Populations Protections,Approach,Example/Status in Midwest,Aspect,Southern States,Mid-Atlantic States,Civil Rights/Non-Discrimination,Disability/Functional Needs,Language Access,Equity Initiatives,Emergency Declaration,Local Emergency Powers,Mitigation Planning,Mutual Aid,Explicit Vulnerable Population Provisions,State/Territory,Equity/Health Disparities Focus,Impact Area,Vulnerable Population Provisions,State Emergency Declaration,Explicit Vulnerable Populations Protections,Protection Area,Risk Without FEMA Support,Region,Special Registries,Equity/Outreach Mandates,Local Planning Requirements,Territory / District,Jurisdiction,Comprehensive Protections,Key Features
0,Alaska,Alaska Disaster Act §26.23.010–.220,Yes,https://ready.alaska.gov/Recovery,"Assistance extends to all, including tribes and nonprofits; federal standards apply.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Hawaii,HRS §127A (Emergency Management),Yes,https://governor.hawaii.gov/wp-content/uploads/2025/02/2502052.pdf,"Health, safety, and welfare for all; plans must address all residents.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Arkansas,State Emergency Management Statutes,Yes,https://dps.arkansas.gov/emergency-management/adem/recovery/disaster-information/,Flyers in Spanish and Marshallese; federal standards.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Kentucky,KRS Chapter 39A (Emergency Management),Yes,https://governor.ky.gov/attachments/20230224_Executive-Order_2023-116_State-of-Emergency_February-15-2023-Storms.pdf,Plans address public health/safety for all.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tennessee,TCA §58-2-104 (Emergency Management),Yes,https://www.tn.gov/tema/recover/the-federal-declaration-process2.html,Plans must address all residents; federal standards.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,West Virginia,"Chapter 15, Article 5 (Homeland Security)",Yes,https://faolex.fao.org/docs/pdf/us196531.pdf,Assistance to all persons and organizations involved in disaster recovery.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Arkansas,State Emergency Management Statutes,Yes,https://dps.arkansas.gov/emergency-management/adem/recovery/disaster-information/,Flyers in Spanish and Marshallese; federal standards.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Kentucky,KRS Chapter 39A (Emergency Management),Yes,https://governor.ky.gov/attachments/20230224_Executive-Order_2023-116_State-of-Emergency_February-15-2023-Storms.pdf,Plans address public health/safety for all.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Tennessee,TCA §58-2-104 (Emergency Management),Yes,https://www.tn.gov/tema/recover/the-federal-declaration-process2.html,Plans must address all residents; federal standards.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,West Virginia,"Chapter 15, Article 5 (Homeland Security)",Yes,https://faolex.fao.org/docs/pdf/us196531.pdf,Assistance to all persons and organizations involved in disaster recovery.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,Federal nondiscrimination laws,Apply in all states; set baseline requirements,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,State/local health equity plans,Minnesota has dedicated toolkits and HCC guidance,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,Data-driven vulnerability mapping,"Used in planning (e.g., SVI, SDOH data)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,Community engagement,"Increasing, but not universal",,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,Language access,"Recommended, not always legally mandated",,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,Accessible shelter/aid,"Varies; some best practices, not universal",,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,Evacuation Authority,Often centralized (governor only) in some states; local in others,Local officials generally empowered to declare emergencies,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,Community Outreach Laws,https://www.cdc.gov/mmwr/volumes/69/wr/pdfs/mm6936a1-H.pdf,https://mdem.maryland.gov/community/Documents/15_0330_local_officials%20guide-final.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,Local Emergency Declarations,Varies; local declarations possible but scope differs,https://mdem.maryland.gov/community/Documents/15_0330_local_officials%20guide-final.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,Insurance/Mitigation Laws,Not highlighted in disaster statutes,https://www.marshmma.com/us/insights/details/insurance-market-update-midatlantic.html,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,Coordination,State-local coordination varies,https://mdem.maryland.gov/community/Documents/15_0330_local_officials%20guide-final.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
21,California,,,,,,,,,,https://calcivilrights.ca.gov/discrimination-during-disasters/,https://www.cdc.gov/phlp/php/about/california-mass-evacuation-laws.html,https://calcivilrights.ca.gov/discrimination-during-disasters/,https://www.cwda.org/presentation/disaster-inequity-how-californias-policies-and-practices-create-disparate-experiences,,,,,,,,,,,,,,,,,,,,,
22,Oregon,,,,,,,,,,https://www.opb.org/article/2025/01/19/oregon-advocate-people-with-disabilities-disaster/,https://www.opb.org/article/2025/01/19/oregon-advocate-people-with-disabilities-disaster/,https://www.opb.org/article/2025/01/19/oregon-advocate-people-with-disabilities-disaster/,https://pmc.ncbi.nlm.nih.gov/articles/PMC5899901/,,,,,,,,,,,,,,,,,,,,,
23,Washington,,,,,,,,,,https://www.piercecountywa.gov/DocumentCenter/View/78940/2019-Vulnerable-Populations-Presentation,https://www.piercecountywa.gov/DocumentCenter/View/78940/2019-Vulnerable-Populations-Presentation,https://www.piercecountywa.gov/DocumentCenter/View/78940/2019-Vulnerable-Populations-Presentation,https://www.piercecountywa.gov/DocumentCenter/View/78940/2019-Vulnerable-Populations-Presentation,,,,,,,,,,,,,,,,,,,,,
24,California,,,,,,,,,,,,,Yes (state/local),Yes,Yes,Yes,Yes,"Yes (civil rights, disability, language)",,,,,,,,,,,,,,,,
25,Oregon,,,,,,,,,,,,,"Yes (Medicaid, planning)",Yes,Yes,Yes,Yes,"Yes (ADA, accessible comms/evacuation)",,,,,,,,,,,,,,,,
26,Washington,,,,,,,,,,,,,Yes (whole community),Yes,Yes,Yes,Yes,"Yes (ADA, language, whole community)",,,,,,,,,,,,,,,,
27,California,,,,,,,,,,,,,Yes (state/local),Yes,Yes,Yes,Yes,"Yes (civil rights, disability, language)",,,,,,,,,,,,,,,,
28,Oregon,,,,,,,,,,,,,"Yes (Medicaid, planning)",Yes,Yes,Yes,Yes,"Yes (ADA, accessible comms/evacuation)",,,,,,,,,,,,,,,,
29,Washington,,,,,,,,,,,,,Yes (whole community),Yes,Yes,Yes,Yes,"Yes (ADA, language, whole community)",,,,,,,,,,,,,,,,
30,California,"California Emergency Services Act (Gov. Code § 8550 et seq.), California Disaster Assistance Act",Yes,https://adminfinance.fresnostate.edu/emergency/documents/CA_EmergencyServicesAct.pdf,https://www.cdc.gov/phlp/php/about/california-mass-evacuation-laws.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Oregon,ORS 401: Emergency Management and Services,Yes,https://www.oregonlegislature.gov/bills_laws/ors/ors401.html,https://pmc.ncbi.nlm.nih.gov/articles/PMC5899901/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Washington,"RCW 38.52: Emergency Management, local codes",Yes,https://mrsc.org/explore-topics/public-safety/emergencies/emergency-declarations,https://www.piercecountywa.gov/DocumentCenter/View/78940/2019-Vulnerable-Populations-Presentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes (plans for all),New York,Some local/state efforts,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,"EMS, abuse reporting",Connecticut,"Some EMS, health focus",,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Plans for at-risk groups,Maine,Federal standards,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Not always explicit,Massachusetts,Federal standards,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Site-specific plans for all,New Hampshire,Federal standards,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Local plans for all,New Jersey,Federal standards,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Local plans for all,Pennsylvania,Federal standards,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Plans for all residents,Colorado,Federal standards,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Temporary housing for all,Idaho,Federal standards,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Plans for all affected,Montana,Federal standards,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,State plans for all,Nevada,Proposed equity reforms,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Plans for at-risk groups,Utah,Federal standards,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,"Local discretion, federal standards",Wyoming,Federal standards,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Tribes and nonprofits included,Alaska,Federal standards,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Plans for all residents,Hawaii,Federal standards,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Multilingual outreach,Arkansas,Federal standards,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Plans for all,Kentucky,Federal standards,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Plans for all,Tennessee,Federal standards,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Assistance for all,West Virginia,Federal standards,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,"Local language outreach, all residents",DC/Territories,Federal standards,,,,,,,,,,,,,,
53,,,,,,,,,"Highest in FL, TX, LA (most FEMA aid)","High in NC, VA, MD, WV",,,,,,,,,,,,Financial Burden,,,,,,,,,,,,,
54,,,,,,,,,"Large at-risk populations, limited state legal protections","Similar gaps, some equity planning (e.g., VA)",,,,,,,,,,,,Vulnerable Populations,,,,,,,,,,,,,
55,,,,,,,,,"Patchwork, mostly federal-driven",Some state/local equity mandates (VA),,,,,,,,,,,,Legal Protections,,,,,,,,,,,,,
56,,,,,,,,,"Major losses, high disaster frequency","Major losses, especially for coastal/rural areas",,,,,,,,,,,,Mitigation Funding,,,,,,,,,,,,,
57,,,,,,,,,"Many states under-resourced, at risk","Many states under-resourced, at risk",,,,,,,,,,,,Preparedness Capacity,,,,,,,,,,,,,
58,Illinois,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,"Some local, limited state mandate",,,,,,,,,,,,
59,Michigan,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,"Limited, mostly federal-driven",,,,,,,,,,,,
60,Minnesota,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,Required in planning,,,,,,,,,,,,
61,Missouri,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,Explicit in state plan,,,,,,,,,,,,
62,Others,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,"Varies, mostly federal-driven",,,,,,,,,,,,
63,Illinois,https://iemaohs.illinois.gov/laws/statutes-em.html,Yes,Governor and local officials can declare emergencies; local emergency management programs required; mutual aid authorized; local emergency plans must be coordinated with federal and state plans.,https://digitalcommons.unmc.edu/cgi/viewcontent.cgi?article=1004&context=coph_drph_etd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Michigan,https://www.legislature.mi.gov/documents/mcl/pdf/mcl-Act-390-of-1976.pdf,Yes,"Governor can declare state disaster/emergency (28 days, extendable by legislature); local officials can declare emergencies (7 days, extendable by local governing body); can order evacuations, control movement, provide emergency housing, coordinate response.","Emergency plans must include public information dissemination; protections for health and safety, but explicit mandates for vulnerable groups are limited.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Minnesota,https://www.health.state.mn.us/communities/ep/legal/epstatutes.pdf,Yes,"Governor/state director/local officials can declare emergencies; can commandeer property for emergency use (with compensation); local emergency management required; plans must include all phases (mitigation, response, recovery).",Must consider needs of vulnerable populations in emergency planning; compensation for commandeered property.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Missouri,https://mchb.tvisdata.hrsa.gov/Narratives/MCH%20Emergency%20Planning%20and%20Preparedness/674fffa5-a244-48e5-8e28-6ed3098b73df,Yes,"State and local emergency management plans reviewed annually; local public health agencies involved in planning and response; explicit inclusion of at-risk and medically vulnerable women, infants, and children in planning.","State plan includes vulnerable populations; regular exercises and conferences focused on children, families, and medically vulnerable groups.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"Iowa, Nebraska, Indiana, Ohio, Wisconsin, Kansas, North Dakota, South Dakota",State Emergency Management Acts (various),Yes,"All have statutes empowering governors and local officials to declare emergencies, coordinate response, and provide mutual aid; local emergency management agencies required or encouraged.",https://lawreview.law.ucdavis.edu/sites/g/files/dgvnsk15026/files/media/documents/42-5_Hoffman.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Michigan,,,,,,,,,,,,,,,"Yes (7 days, extendable)",Yes,Yes,,,,,,"Yes (28 days, extendable)",Limited (mostly federal-driven),,,,,,,,,,
69,Illinois,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,Yes,Limited,,,,,,,,,,
70,"Iowa, etc.",,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,Yes,Limited,,,,,,,,,,
71,Colorado,C.R.S. §24-33.5-704 (Disaster Emergency Act),Yes,https://law.justia.com/codes/colorado/title-24/principal-departments/article-33-5/part-7/section-24-33-5-704/,Plans must address all residents; civil rights laws apply.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Idaho,Idaho Code §46-1008 (Disaster Emergency Act),Yes,https://legislature.idaho.gov/statutesrules/idstat/title46/t46ch10/sect46-1008/,Temporary housing and assistance for all; federal standards.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Montana,"Title 10, Ch. 3, MCA; Executive Orders",Yes,https://www.fmcsa.dot.gov/emergency/montana-eo-4-2022-declaring-disaster-flooding,Plans must address all affected; federal standards.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Nevada,State Emergency Management Statutes,Yes,https://www.cortezmasto.senate.gov/news/press-releases/cortez-masto-introduces-legislation-to-help-nevadans-recover-from-natural-disasters/,State plans must address all; equity reforms proposed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Utah,"Utah Code Title 53, Ch. 2a (Emergency Management Act)",Yes,https://le.utah.gov/xcode/Title53/Chapter2A/C53-2a_1800010118000101.pdf,Plans must consider at-risk groups; federal standards.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Wyoming,Wyoming Homeland Security Act §19-13-101 et seq.,Yes,https://www.wsspc.org/public-policy/legislation/wyoming/,Equity and mitigation depend on local initiative; federal standards.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,New York,"Executive Law Article 2-B (§20, §23)",Yes,https://www.nysenate.gov/legislation/laws/EXC/23,Plans must address needs of all residents; civil rights laws apply.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Connecticut,"Public Health Code, OEMS Statutes (19a-175 et seq.)",Yes,https://portal.ct.gov/dph/emergency-medical-services/ems/ems-regulations,Mandates for vulnerable populations in EMS; reporting for abuse.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Maine,"Title 37-B §704, Emergency Operations Plan",Yes,https://www.maine.gov/mema/sites/maine.gov.mema/files/inline-files/maine_emergency_operations_plan.pdf,Plans must consider at-risk groups; federal standards apply.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Massachusetts,"Gen. Laws Ch. 164 §85B, Emergency Management Statutes",Yes,https://malegislature.gov/Laws/GeneralLaws/PartI/TitleXXII/Chapter164/Section85B,Safety and communications for all; not always explicit for vulnerable groups.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,New Hampshire,N.H. Admin. Code He-P 803.28,Yes,https://www.law.cornell.edu/regulations/new-hampshire/N-H-Admin-Code-SS-He-P-803.28,"Site-specific plans for all, including vulnerable individuals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,New Jersey,Emergency Management Act (proposed S1724),Yes,https://pub.njleg.gov/bills/2006/S2000/1724_I1.HTM,"Health, safety, and welfare for all; local plans required.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Pennsylvania,"Title 35, Emergency Management Services Code",Yes,https://www.montgomerycountypa.gov/3315/Municipal-Emergency-Management,Local plans must address all residents; coordinator required.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"Rhode Island, Vermont",State Emergency Management Acts,Yes,Local plans required; state coordinates for larger events.,Federal standards apply; local discretion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,Civil rights/nondiscrimination,Enforcement likely to weaken,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,Language access,"Fewer resources, less outreach",,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,Accessible shelters/housing,Inconsistent or absent accommodations,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,Targeted outreach/equity,"Less focus, fewer resources",,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,Direct aid/housing support,"Loss of immediate, comprehensive assistance",,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,Inclusive planning,At-risk groups may be excluded from planning,,,,,,,,
91,,,,,,,,,,,,https://capitol.texas.gov/tlodocs/88R/analysis/html/HB02858H.htm,https://pmc.ncbi.nlm.nih.gov/articles/PMC7499836/,,,,,,,,,,,,,,,Southern,https://pmc.ncbi.nlm.nih.gov/articles/PMC7499836/,https://capitol.texas.gov/tlodocs/88R/analysis/html/HB02858H.htm,https://capitol.texas.gov/tlodocs/88R/analysis/html/HB02858H.htm,,,,
92,,,,,,,,,,,,https://law.lis.virginia.gov/vacodepopularnames/emergency-services-and-disaster-law/,https://mdem.maryland.gov/community/Documents/15_0330_local_officials%20guide-final.pdf,,,,,,,,,,,,,,,Mid-Atlantic,Not specified,https://law.lis.virginia.gov/vacodepopularnames/emergency-services-and-disaster-law/,https://law.lis.virginia.gov/vacodepopularnames/emergency-services-and-disaster-law/,,,,
93,Alabama,Ala. Code § 31-9-1 et seq.,Yes,https://www.networkforphl.org/wp-content/uploads/2020/01/Emergency-Declaration-Authorities.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Florida,Fla. Stat. § 252.31 et seq.,Limited,https://www.cdc.gov/mmwr/volumes/69/wr/mm6936a1.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Georgia,O.C.G.A. § 38-3-1 et seq.,Limited,https://www.cdc.gov/mmwr/volumes/69/wr/mm6936a1.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Louisiana,"LA. Rev. Stat. Ann. § 29:724, § 29:766(A), § 29:727",Yes,https://www.networkforphl.org/wp-content/uploads/2020/01/Emergency-Declaration-Authorities.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Maryland,"Ann. Code Md., Public Safety, Title 14",Yes,https://www.networkforphl.org/wp-content/uploads/2020/01/Emergency-Declaration-Authorities.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Mississippi,Miss. Code Ann. § 33-15-11 et seq.,Yes,https://www.networkforphl.org/wp-content/uploads/2020/01/Emergency-Declaration-Authorities.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,North Carolina,"N.C. Gen. Stat. § 166A-19.20, § 166A-19.22",Yes,https://www.networkforphl.org/wp-content/uploads/2020/01/Emergency-Declaration-Authorities.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,South Carolina,S.C. Code Ann. § 25-1-420 et seq.,Limited,https://www.cdc.gov/mmwr/volumes/69/wr/mm6936a1.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Texas,"Tex. Gov’t Code § 418.014, § 418.108",Yes,https://www.cdc.gov/mmwr/volumes/69/wr/mm6936a1.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Virginia,Va. Code Ann. § 44-146.13 et seq.,Yes,https://www.networkforphl.org/wp-content/uploads/2020/01/Emergency-Declaration-Authorities.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Texas,,,,,,,,,,https://statutes.capitol.texas.gov/docs/GV/htm/GV.418.htm,https://statutes.capitol.texas.gov/docs/GV/htm/GV.418.htm,"Not universally mandated, but some localities provide translation/outreach.",Recent laws require inclusive planning and targeted outreach.,,,,,,,,,,,,,,,,,,,,,
104,Arizona,,,,,,,,,,https://www.azahcccs.gov/Resources/Downloads/Grants/MHBG/DBH_FrameworkReport.pdf,https://www.azahcccs.gov/Resources/Downloads/Grants/MHBG/DBH_FrameworkReport.pdf,Outreach and communication required for behavioral health crises.,Disaster Behavioral Health Framework prioritizes equity and access.,,,,,,,,,,,,,,,,,,,,,
105,New Mexico,,,,,,,,,,https://www.nmdhsem.org/wp-content/uploads/2024/02/2023-State-of-New-Mexico-Hazard-Mitigation-Plan.pdf,https://www.nmdhsem.org/wp-content/uploads/2024/02/2023-State-of-New-Mexico-Hazard-Mitigation-Plan.pdf,Not universally required.,Equity addressed mainly through federal requirements.,,,,,,,,,,,,,,,,,,,,,
106,Oklahoma,,,,,,,,,,https://www.swd.usace.army.mil/Missions/Emergency-Management/,Plans reference vulnerable populations; mandates limited.,Not universally required.,Equity and access referenced but not detailed.,,,,,,,,,,,,,,,,,,,,,
107,Texas,,,,,,,,,,https://statutes.capitol.texas.gov/docs/GV/htm/GV.418.htm,https://statutes.capitol.texas.gov/docs/GV/htm/GV.418.htm,"Not universally mandated, but some localities provide translation/outreach.",Recent laws require inclusive planning and targeted outreach.,,,,,,,,,,,,,,,,,,,,,
108,Arizona,,,,,,,,,,https://www.azahcccs.gov/Resources/Downloads/Grants/MHBG/DBH_FrameworkReport.pdf,https://www.azahcccs.gov/Resources/Downloads/Grants/MHBG/DBH_FrameworkReport.pdf,Outreach and communication required for behavioral health crises.,Disaster Behavioral Health Framework prioritizes equity and access.,,,,,,,,,,,,,,,,,,,,,
109,New Mexico,,,,,,,,,,https://www.nmdhsem.org/wp-content/uploads/2024/02/2023-State-of-New-Mexico-Hazard-Mitigation-Plan.pdf,https://www.nmdhsem.org/wp-content/uploads/2024/02/2023-State-of-New-Mexico-Hazard-Mitigation-Plan.pdf,Not universally required.,Equity addressed mainly through federal requirements.,,,,,,,,,,,,,,,,,,,,,
110,Oklahoma,,,,,,,,,,https://www.swd.usace.army.mil/Missions/Emergency-Management/,Plans reference vulnerable populations; mandates limited.,Not universally required.,Equity and access referenced but not detailed.,,,,,,,,,,,,,,,,,,,,,
111,Texas,,,,,,,,,,,,,Yes (recent reforms),Yes,Yes,Yes,Yes,"Yes (disability, low-income, homeless)",,,,,,,,,,,,,,,,
112,Arizona,,,,,,,,,,,,,Yes (behavioral health),Yes,Yes,Yes,Yes,"Yes (behavioral health parity, Medicaid)",,,,,,,,,,,,,,,,
113,New Mexico,,,,,,,,,,,,,"Some, mainly federal",Yes,Yes,Yes,Yes,"Limited, mostly federal-driven",,,,,,,,,,,,,,,,
114,Oklahoma,,,,,,,,,,,,,"Some, mainly federal",Yes,Yes,Yes,Yes,"Limited, mostly federal-driven",,,,,,,,,,,,,,,,
115,Texas,https://statutes.capitol.texas.gov/docs/GV/htm/GV.418.htm,Yes,Governor and local officials can declare emergencies; local emergency management required; mutual aid; local plans must identify vulnerable areas and include relief/evacuation for at-risk groups.,"Local plans must address evacuation and sheltering for people with disabilities and other at-risk groups; some recent reforms require outreach to low-income, disabled, and homeless populations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Arizona,https://www.azahcccs.gov/Resources/Downloads/Grants/MHBG/DBH_FrameworkReport.pdf,Yes,Local governments declare emergencies; state coordinates if local capacity is exceeded; strong focus on behavioral health in emergencies; integration with Medicaid and public health.,"Behavioral health equity is prioritized; crisis services for all, regardless of insurance; outreach and parity required for disaster behavioral health.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,New Mexico,https://www.nmdhsem.org/wp-content/uploads/2024/02/2023-State-of-New-Mexico-Hazard-Mitigation-Plan.pdf,Yes,Local governments develop emergency plans; state coordinates and supports; FEMA-approved hazard mitigation plan required for federal aid; focus on risk reduction and mitigation.,"Plans must include identification of at-risk populations, but explicit legal mandates for outreach or accommodations are limited; relies on federal standards for equity.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Oklahoma,https://www.swd.usace.army.mil/Missions/Emergency-Management/,Yes,Local and state governments share emergency management responsibilities; mutual aid; USACE provides flood assistance; local plans required.,"Equity and access for vulnerable groups referenced, but detailed mandates are limited; federal civil rights laws apply.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,DC Emergency Management Agency Act,Yes,Mayor and local agencies coordinate emergency response; local plans required.,Federal standards; local plans address all residents.,,,,,,,,,,,,,,,,,,,,,,,,,,,District of Columbia,,,
120,,Puerto Rico Emergency Management Act,Yes,State and municipal plans; coordination with FEMA and federal agencies.,Federal standards; outreach in Spanish.,,,,,,,,,,,,,,,,,,,,,,,,,,,Puerto Rico,,,
121,,Local emergency management statutes,Yes,"Local governments lead disaster response, coordinate with federal agencies for major disasters.",Federal standards; outreach in local languages as needed.,,,,,,,,,,,,,,,,,,,,,,,,,,,"Guam, USVI, American Samoa, Northern Mariana Islands",,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Utah,Yes,"Low social vulnerability, strong infrastructure, inclusive planning"
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Hampshire,Yes,"Low social vulnerability, strong access to care, communication"
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,Yes (with challenges),"Comprehensive planning, outreach, civil rights, but high vulnerability"
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Connecticut,Yes,"Mandated EMS, abuse reporting, explicit vulnerable group provisions"
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. Territories,Yes (resource-limited),"Local language outreach, federal coordination, all-resident plans"
